"V1","V2","V3","V4"
2.07172591698193e-06,1.50266340721737e-07,0,0
1.98834116348272e-06,1.53999523702631e-07,0,0
1.90969037909522e-06,1.5777851260967e-07,0,0
1.83577356381945e-06,1.61603307442856e-07,0,0
1.7665907176554e-06,1.65473908202187e-07,0,0
1.70214184060307e-06,1.69390314887665e-07,0,0
1.64242693266246e-06,1.73352527499288e-07,0,0
1.58744599383356e-06,1.77360546037057e-07,0,0
1.53719902411639e-06,1.81414370500973e-07,0,0
1.49168602351094e-06,1.85514000891034e-07,0,0
1.45090699201721e-06,1.89659437207241e-07,0,0
1.41486192963519e-06,1.93850679449594e-07,0,0
1.3834495613299e-06,1.98157866489355e-07,0,0
1.35372165830473e-06,2.04622818801038e-07,0,0
1.32431663397806e-06,2.1418851454272e-07,0,0
1.29523448834987e-06,2.26854953714403e-07,0,0
1.26647522142017e-06,2.42622136316085e-07,0,0
1.23803883318896e-06,2.61490062347767e-07,0,0
1.20992532365624e-06,2.83458731809448e-07,0,0
1.182134692822e-06,3.08528144701129e-07,0,0
1.15466694068626e-06,3.3669830102281e-07,0,0
1.127522067249e-06,3.6796920077449e-07,0,0
1.10070007251024e-06,4.0234084395617e-07,0,0
1.07420095646996e-06,4.39813230567849e-07,0,0
1.04802471912817e-06,4.80386360609528e-07,0,0
1.02217136048487e-06,5.24060234081207e-07,0,0
9.96640880540065e-07,5.70834850982886e-07,0,0
9.71433279293744e-07,6.20710211314564e-07,0,0
9.46548556745912e-07,6.73686315076241e-07,0,0
9.2198671289657e-07,7.29763162267919e-07,0,0
8.97747747745716e-07,7.88940752889596e-07,0,0
8.73831661293351e-07,8.51219086941272e-07,0,0
8.50238453539475e-07,9.16598164422948e-07,0,0
8.26968124484089e-07,9.85077985334624e-07,0,0
8.04020674127191e-07,1.0566585496763e-06,0,0
7.81396102468782e-07,1.13133985744797e-06,0,0
7.59094409508863e-07,1.20912190864965e-06,0,0
7.37115595247432e-07,1.29000470328132e-06,0,0
7.1545965968449e-07,1.373988241343e-06,0,0
6.94126602820038e-07,1.46107252283467e-06,0,0
6.73116424654074e-07,1.55125754775634e-06,0,0
6.524291251866e-07,1.64454331610802e-06,0,0
6.32064704417614e-07,1.74092982788969e-06,0,0
6.12023162347117e-07,1.84041708310136e-06,0,0
5.9230449897511e-07,1.94300508174303e-06,0,0
5.72908714301591e-07,2.04869382381471e-06,0,0
5.53835808326562e-07,2.15748330931638e-06,0,0
5.35085781050021e-07,2.26937353824805e-06,0,0
5.1665863247197e-07,2.38436451060972e-06,0,0
4.98554362592407e-07,2.50245622640139e-06,0,0
4.80772971411334e-07,2.62364868562306e-06,0,0
4.63314458928749e-07,2.74794188827473e-06,0,0
4.46178825144654e-07,2.8753358343564e-06,0,0
4.29366070059047e-07,3.00583052386806e-06,0,0
4.1287619367193e-07,3.13942595680973e-06,0,0
3.96709195983301e-07,3.2761221331814e-06,0,0
3.80865076993162e-07,3.41591905298307e-06,0,0
3.65343836701512e-07,3.55881671621473e-06,0,0
3.5014547510835e-07,3.7048151228764e-06,0,0
3.35269992213678e-07,3.85391427296807e-06,0,0
3.20717388017495e-07,4.00611416648973e-06,0,0
3.064876625198e-07,4.1614148034414e-06,0,0
2.92580815720595e-07,4.31981618382306e-06,0,0
2.78996847619879e-07,4.48131830763473e-06,0,0
2.65735758217651e-07,4.64592117487639e-06,0,0
2.52797547513913e-07,4.81362478554806e-06,0,0
2.40182215508664e-07,4.98442913964972e-06,0,0
2.27889762201903e-07,5.15833423718138e-06,0,0
2.15920187593632e-07,5.33534007814305e-06,0,0
2.0427349168385e-07,5.51544666253471e-06,0,0
1.92949674472557e-07,5.69865399035637e-06,0,0
1.81948735959752e-07,5.88496206160803e-06,0,0
1.71270676145437e-07,6.07437087628969e-06,0,0
1.60915495029611e-07,6.26688043440135e-06,0,0
1.50883192612274e-07,6.46249073594302e-06,0,0
1.41173768893426e-07,6.66120178091468e-06,0,0
1.31787223873067e-07,6.86301356931634e-06,0,0
1.22723557551196e-07,7.067926101148e-06,0,0
1.13982769927815e-07,7.27593937640966e-06,0,0
